"chla","temp","bar","nas","przew","ph","namon"
NA,7.6,20,104.2,262,7.9,0.14
NA,2.5,20,75.5,292,7.8,0.05
NA,3,18,75,278,7.9,0.06
NA,1,18,81.6,273,8,0.09
31.7,17.9,15,107.59,219,8.16,NA
30,19.8,15,96.51,174,8.26,NA
25.7,14.7,5,101.5,223,8.8,NA
NA,12.6,NA,88.46,NA,7.74,0.05
NA,21.5,NA,121.38,NA,8.81,0.05
NA,8.6,NA,96.2,NA,7.7,0.05
NA,18.6,NA,79.18,NA,7.87,0.05
NA,22.8,NA,101.14,NA,9.04,0.05
NA,12.9,NA,98.5,NA,8.32,0.05
NA,13.2,NA,91.57,224,8.25,0.002
NA,22.2,NA,111.52,223,8.01,0.05
NA,10.9,NA,96.06,207,8.3,0.05
44.1,16,5,118.66,196,9.2,NA
28.1,23.1,5,92.35,223,8,NA
8.9,15,5,105.16,205,8.4,NA
14.2,15.8,NA,82.79,NA,7.9,NA
41.4,20.2,NA,91.77,NA,8.3,0.18
11.6,18.2,NA,135.85,NA,9.1,0.14
14.7,14,NA,68.93,NA,7.9,NA
103.7,19,NA,137,NA,9.2,NA
43.5,12,NA,89.14,NA,8.1,NA
18.4,13.8,0,94.72,NA,8.1,0.1
18.7,21.8,5,114.1,NA,8.4,0.1
2,15,0,89.28,NA,7.6,0.1
39.2,15.2,20,107.61,206,8.1,0.2
NA,NA,NA,NA,NA,NA,NA
19,19,40,100.32,191,8,0
NA,NA,NA,NA,NA,NA,NA
19.8,8,20,99.92,209,8.4,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
8.2,16.9,20,94.01,164,7.7,0.22
NA,NA,NA,NA,NA,NA,NA
8.7,24,30,98.69,184,8.4,NA
NA,NA,NA,NA,NA,NA,NA
NA,19.2,NA,97.49,NA,8.26,0.05
NA,22.9,NA,104.82,NA,8.94,0.05
NA,12.4,NA,99.3,NA,8.76,0.06
NA,15,NA,103.17,220,8.41,0.0025
NA,22.6,NA,92.66,222,7.73,0.05
NA,10.9,NA,95.15,206,8.5,0.05
27.3,16.2,0,119.14,195,9.1,NA
34.8,23,5,109.68,222,8.4,NA
26.1,15,5,110.12,206,8.6,NA
10.1,15.6,NA,80.42,NA,7.8,NA
27.5,20,NA,87,NA,8,0.16
19.3,16.6,NA,127.31,NA,8.8,0.18
12.3,14,NA,70.87,NA,7.9,NA
84.6,19,NA,139.16,NA,9.3,NA
30.9,11,NA,90.83,NA,8.1,NA
17.2,14,0,92.23,NA,8,0.14
15.4,21.6,5,102.3,NA,8.2,0.1
1.6,15,0,85.32,NA,7.6,0.1
15.8,15,20,102.18,198,8,0.24
NA,NA,NA,NA,NA,NA,NA
19,21,40,107.86,178,8.6,0.1
NA,NA,NA,NA,NA,NA,NA
29.4,8.8,20,106.16,210,8.5,NA
NA,NA,NA,NA,NA,NA,NA
34.7,NA,20,NA,194,7.8,NA
NA,NA,NA,NA,NA,NA,NA
60.9,17.2,30,113.31,182,8.6,0.2
NA,NA,NA,NA,NA,NA,NA
4.2,22,30,92.78,183,8.3,NA
NA,NA,NA,NA,NA,NA,NA
23.3,12,10,87.28,231,7.9,0.1
NA,NA,NA,NA,NA,NA,NA
88.2,24.8,5,148.51,215,9.5,NA
NA,NA,NA,NA,NA,NA,NA
19.6,11,20,106.27,207,8.6,0.12
NA,NA,NA,NA,NA,NA,NA
40.5,NA,NA,NA,159,NA,NA
NA,NA,NA,NA,NA,NA,NA
74.9,NA,NA,NA,197,NA,NA
NA,NA,NA,NA,NA,NA,NA
30.5,NA,NA,NA,185,NA,NA
NA,NA,NA,NA,NA,NA,NA
2.8,14.8,20,101.74,201,8.1,0.2
NA,NA,NA,NA,NA,NA,NA
8,19.5,30,102.45,191,8.8,0
NA,NA,NA,NA,NA,NA,NA
16.9,8,10,97.38,213,8.2,NA
NA,NA,NA,NA,NA,NA,NA
39.1,14.6,20,85.56,195,7.8,NA
NA,NA,NA,NA,NA,NA,NA
47.7,17.8,20,107.37,190,8.5,0.22
NA,NA,NA,NA,NA,NA,0.128
4,24,20,104.64,182,8.4,NA
NA,NA,NA,104.5777778,NA,8.422222222,NA
NA,3,15,75.8,215,7.7,NA
NA,7.1,10,99.7,221,7.8,NA
NA,8.9,10,96,218,7.7,NA
NA,18.1,5,111.9,221,8,NA
NA,20.7,20,98.8,210,7.8,NA
NA,21.5,15,96.3,201,8,NA
NA,21.9,10,98.4,194,8,NA
NA,16.5,0,120,196,8,NA
NA,11.5,15,99,193,8.8,NA
NA,8.2,0,98.3,212,8.3,NA
NA,0.7,5,80.4,203,8.4,NA
NA,2.4,5,91.6,203,7.9,NA
NA,2.6,10,120.1,212,7.8,NA
NA,9.8,5,116,204,7.7,NA
NA,15.2,8,100.2,201,7.6,NA
NA,16.7,5,93.1,202,7.8,NA
NA,17.5,5,100.3,194,8.2,NA
NA,24.7,5,97.1,194,8.2,NA
NA,19.6,5,115.3,187,8.9,NA
NA,23.3,0,136.4,184,8.9,NA
NA,13.6,20,125.6,204,8.4,NA
NA,7.1,10,133.4,207,7.9,NA
NA,4.8,5,101,208,8.1,NA
NA,0.3,5,120.7,210,7.7,NA
NA,3.1,5,105.5,210,7.7,NA
NA,9.2,5,96.9,208,7.7,NA
NA,15,10,95.3,207,7.2,0.24
NA,14.6,10,95.1,203,7.7,NA
NA,23.2,10,102.6,193,9.1,NA
NA,20.1,5,96.8,197,8,NA
NA,24.8,5,125,188,8.8,NA
NA,16.6,5,94.2,199,7.7,NA
NA,14.6,5,127.9,197,8.3,NA
NA,0.2,5,93,209,7.7,0.22
NA,1.5,0,94.1,207,8.4,NA
NA,0.6,5,87.4,207,7.7,NA
NA,2.1,5,89.7,126,7.9,NA
NA,8.1,5,94.6,207,8.2,NA
NA,10.2,5,67.4,195,7.7,NA
NA,16.2,10,90.2,203,8,NA
NA,18.6,5,99.1,187,8.7,NA
NA,20.2,5,101.2,188,8.2,NA
NA,18,10,92.8,181,8.9,NA
NA,18.4,5,122.4,171,8.8,NA
NA,13.1,5,125.2,166,9,NA
NA,5.8,5,90,165,8,NA
NA,1.8,5,86,241,7.5,NA
NA,1,15,88.6,209,7.8,NA
NA,2.8,5,86.2,203,7.9,NA
NA,4.7,10,87.7,204,7.8,NA
NA,8.6,10,94,200,7.7,NA
NA,18.5,20,113,207,8.95,NA
NA,19.8,20,105.6,234,8.03,NA
NA,22.5,20,85.8,186,7.59,NA
NA,21.3,15,127,246,7.77,NA
NA,18,0,94,205,8.06,NA
NA,13.5,0,111.2,211,8.72,NA
NA,10.6,0,109.3,208,7.89,NA
NA,4.8,5,92.4,224,7.15,NA
NA,5.6,5,82.5,227,7.23,NA
17.2,16.2,NA,88.59,NA,8,NA
34.7,19.6,NA,89.56,NA,8.2,0.2
7.5,18.2,NA,149.65,NA,9.2,0.12
50.3,14,NA,97.09,NA,8.2,NA
46,18,NA,98.31,NA,8.4,NA
13.4,11,NA,87.19,NA,8.5,NA
19.2,13.6,0,94.3,NA,8.1,0.12
23,21.2,5,112.79,NA,8.4,0.1
3.1,15,0,88.29,NA,7.5,NA
24.8,12.2,10,93.27,238,8,0.1
NA,NA,NA,NA,NA,NA,NA
67.7,24.2,5,134.88,212,9.4,NA
NA,NA,NA,NA,NA,NA,NA
21.8,10,20,102.13,208,8.6,0.12
NA,NA,NA,NA,NA,NA,NA
14.7,NA,NA,NA,168,NA,NA
NA,NA,NA,NA,NA,NA,NA
170.2,NA,NA,NA,197,NA,NA
NA,NA,NA,NA,NA,NA,NA
33.3,NA,NA,NA,184,NA,NA
NA,NA,NA,NA,NA,NA,NA
7.8,14.2,20,100.43,203,8,0.16
NA,NA,NA,NA,NA,NA,NA
28.6,20,40,98.02,185,8.8,0
NA,NA,NA,NA,NA,NA,NA
32.1,8.4,20,102.58,211,8.4,NA
NA,NA,NA,NA,NA,NA,NA
22.1,15,20,79.36,193,7.8,NA
NA,NA,NA,NA,NA,NA,NA
64,17.6,20,114.26,192,8.7,0.24
NA,NA,NA,NA,NA,NA,NA
14.2,23,20,100.35,186,8.9,NA
NA,NA,NA,101.3608974,NA,8.130641026,0.147272727
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
9.8,8.9,NA,93.44,230,7.6,NA
NA,NA,NA,NA,NA,NA,NA
